Time (s),Velocity (m/s),Gamma (rad),Altitude (m),G-force,Angle of Attack (rad),AoA Adjustment (rad)
1069,1069,[1282.66936613],[-0.05945624],[30089.77051876],[1.81296196],[-1.87442894],[-0.18744289]
1070,1070,[1274.93560183],[-0.06005979],[30013.55274417],[1.81194365],[-1.87441128],[-0.18744113]
1071,1071,[1267.20839247],[-0.06066984],[29937.02640381],[1.81085557],[-1.87438465],[-0.18743847]
1072,1072,[1259.48843606],[-0.06128703],[29860.19223513],[1.80970438],[-1.87435007],[-0.18743501]
1073,1073,[1251.77636486],[-0.06191198],[29783.05024064],[1.80849671],[-1.87430852],[-0.18743085]
1074,1074,[1244.07274598],[-0.06254524],[29705.59978327],[1.80723895],[-1.87426096],[-0.1874261]
1075,1075,[1236.37808347],[-0.06318728],[29627.83967995],[1.80593715],[-1.87420829],[-0.18742083]
1076,1076,[1228.69282173],[-0.06383854],[29549.7682914],[1.80459693],[-1.87415133],[-0.18741513]
1077,1077,[1221.0173497],[-0.06449939],[29471.38360661],[1.80322341],[-1.87409085],[-0.18740909]
1078,1078,[1213.35200586],[-0.06517019],[29392.68332087],[1.80182115],[-1.87402752],[-0.18740275]
1079,1079,[1205.69708354],[-0.0658512],[29313.66490666],[1.80039417],[-1.87396194],[-0.18739619]
1080,1080,[1198.05283638],[-0.06654269],[29234.32567688],[1.7989459],[-1.8738946],[-0.18738946]
1081,1081,[1190.41948392],[-0.06724487],[29154.66284032],[1.79747925],[-1.87382596],[-0.1873826]
1082,1082,[1182.79721693],[-0.06795794],[29074.67354943],[1.79599658],[-1.87375635],[-0.18737564]
1083,1083,[1175.18620262],[-0.06868207],[28994.35494067],[1.79449977],[-1.87368607],[-0.18736861]
1084,1084,[1167.58658936],[-0.06941739],[28913.70416774],[1.79299025],[-1.87361534],[-0.18736153]
1085,1085,[1159.99851117],[-0.07016406],[28832.71842841],[1.79146906],[-1.87354432],[-0.18735443]
1086,1086,[1152.42209161],[-0.0709222],[28751.3949853],[1.78993685],[-1.87347312],[-0.18734731]
1087,1087,[1144.85744737],[-0.07169191],[28669.73118141],[1.78839398],[-1.87340182],[-0.18734018]
1088,1088,[1137.30469126],[-0.07247333],[28587.72445095],[1.78684054],[-1.87333044],[-0.18733304]
1089,1089,[1129.76393483],[-0.07326656],[28505.37232619],[1.78527639],[-1.87325899],[-0.1873259]
1090,1090,[1122.23529053],[-0.07407172],[28422.67244093],[1.78370123],[-1.87318744],[-0.18731874]
1091,1091,[1114.71887348],[-0.07488893],[28339.62253115],[1.7821146],[-1.87311575],[-0.18731158]
1092,1092,[1107.21480282],[-0.07571831],[28256.22043349],[1.78051594],[-1.87304387],[-0.18730439]
1093,1093,[1099.7232028],[-0.07656],[28172.46408198],[1.77890461],[-1.87297172],[-0.18729717]
1094,1094,[1092.24420351],[-0.07741412],[28088.35150346],[1.77727991],[-1.87289924],[-0.18728992]
1095,1095,[1084.77794139],[-0.07828082],[28003.88081227],[1.77564113],[-1.87282635],[-0.18728264]
1096,1096,[1077.32455946],[-0.07916026],[27919.05020424],[1.77398753],[-1.87275298],[-0.1872753]
1097,1097,[1069.88420749],[-0.08005259],[27833.85795062],[1.77231837],[-1.87267904],[-0.1872679]
1098,1098,[1062.4570419],[-0.08095799],[27748.30239188],[1.77063296],[-1.87260447],[-0.18726045]
1099,1099,[1055.04322559],[-0.08187663],[27662.38193178],[1.76893059],[-1.8725292],[-0.18725292]
1100,1100,[1047.64292772],[-0.08280869],[27576.09503179],[1.76721061],[-1.87245317],[-0.18724532]
1101,1101,[1040.25632335],[-0.08375437],[27489.44020591],[1.7654724],[-1.87237633],[-0.18723763]
1102,1102,[1032.88359314],[-0.08471387],[27402.41601609],[1.76371535],[-1.87229861],[-0.18722986]
1103,1103,[1025.52492294],[-0.08568739],[27315.02106815],[1.76193893],[-1.87222],[-0.187222]
1104,1104,[1018.1805034],[-0.08667515],[27227.25400833],[1.76014261],[-1.87214043],[-0.18721404]
1105,1105,[1010.85052961],[-0.08767736],[27139.11352046],[1.75832592],[-1.8720599],[-0.18720599]
1106,1106,[1003.53520077],[-0.08869425],[27050.59832371],[1.75648841],[-1.87197835],[-0.18719784]
1107,1107,[996.23471978],[-0.08972606],[26961.7071708],[1.75462965],[-1.87189579],[-0.18718958]
1108,1108,[988.94929298],[-0.09077301],[26872.43884688],[1.75274927],[-1.87181219],[-0.18718122]
1109,1109,[981.67912987],[-0.09183536],[26782.79216881],[1.75084688],[-1.87172754],[-0.18717275]
1110,1110,[974.42444283],[-0.09291333],[26692.76598483],[1.74892214],[-1.87164183],[-0.18716418]
1111,1111,[967.1854469],[-0.09400719],[26602.35917473],[1.74697472],[-1.87155506],[-0.18715551]
1112,1112,[959.96235961],[-0.09511718],[26511.57065028],[1.74500431],[-1.87146722],[-0.18714672]
1113,1113,[952.75540083],[-0.09624357],[26420.39935602],[1.7430106],[-1.87137832],[-0.18713783]
1114,1114,[945.56479259],[-0.09738661],[26328.84427021],[1.74099329],[-1.87128836],[-0.18712884]
1115,1115,[938.39075898],[-0.09854658],[26236.90440616],[1.73895209],[-1.87119733],[-0.18711973]
1116,1116,[931.23352611],[-0.09972373],[26144.57881357],[1.73688673],[-1.87110525],[-0.18711053]
1117,1117,[924.09332197],[-0.10091834],[26051.86658017],[1.73479691],[-1.87101213],[-0.18710121]
1118,1118,[916.97037643],[-0.10213069],[25958.7668334],[1.73268236],[-1.87091796],[-0.1870918]
1119,1119,[909.86492114],[-0.10336104],[25865.27874226],[1.73054279],[-1.87082276],[-0.18708228]
1120,1120,[902.77718955],[-0.1046097],[25771.40151917],[1.72837794],[-1.87072654],[-0.18707265]
1121,1121,[895.70741689],[-0.10587693],[25677.13442196],[1.72618751],[-1.8706293],[-0.18706293]
1122,1122,[888.65584009],[-0.10716302],[25582.47675594],[1.72397123],[-1.87053106],[-0.18705311]
1123,1123,[881.62269784],[-0.10846828],[25487.4278759],[1.72172881],[-1.87043183],[-0.18704318]
1124,1124,[874.60823054],[-0.10979298],[25391.98718834],[1.71945997],[-1.87033161],[-0.18703316]
1125,1125,[867.61268031],[-0.11113743],[25296.1541535],[1.7171644],[-1.87023043],[-0.18702304]
1126,1126,[860.63629099],[-0.11250192],[25199.92828764],[1.71484183],[-1.87012828],[-0.18701283]
1127,1127,[853.67930811],[-0.11388676],[25103.30916522],[1.71249196],[-1.87002518],[-0.18700252]
1128,1128,[846.74197891],[-0.11529226],[25006.29642112],[1.71011448],[-1.86992115],[-0.18699212]
1129,1129,[839.82455232],[-0.11671872],[24908.88975292],[1.7077091],[-1.8698162],[-0.18698162]
1130,1130,[832.92727893],[-0.11816645],[24811.08892318],[1.70527553],[-1.86971033],[-0.18697103]
1131,1131,[826.05041104],[-0.11963576],[24712.89376178],[1.70281344],[-1.86960357],[-0.18696036]
1132,1132,[819.19420257],[-0.12112697],[24614.30416823],[1.70032254],[-1.86949593],[-0.18694959]
1133,1133,[812.35890909],[-0.12264041],[24515.32011405],[1.69780252],[-1.86938742],[-0.18693874]
1134,1134,[805.54478779],[-0.12417638],[24415.94164517],[1.69525308],[-1.86927806],[-0.18692781]
1135,1135,[798.75209744],[-0.12573522],[24316.16888436],[1.69267389],[-1.86916786],[-0.18691679]
1136,1136,[791.98109842],[-0.12731724],[24216.00203368],[1.69006465],[-1.86905684],[-0.18690568]
1137,1137,[785.23205259],[-0.12892278],[24115.44137701],[1.68742505],[-1.86894502],[-0.1868945]
1138,1138,[778.50522338],[-0.13055216],[24014.48728251],[1.68475477],[-1.86883242],[-0.18688324]
1139,1139,[771.80087566],[-0.13220572],[23913.14020526],[1.68205351],[-1.86871904],[-0.1868719]
1140,1140,[765.11927575],[-0.13388379],[23811.40068976],[1.67932094],[-1.86860492],[-0.18686049]
1141,1141,[758.46069136],[-0.13558671],[23709.26937267],[1.67655675],[-1.86849008],[-0.18684901]
1142,1142,[751.82539158],[-0.1373148],[23606.74698534],[1.67376064],[-1.86837452],[-0.18683745]
1143,1143,[745.2136468],[-0.1390684],[23503.83435663],[1.67093229],[-1.86825828],[-0.18682583]
1144,1144,[738.62572867],[-0.14084786],[23400.53241554],[1.66807138],[-1.86814137],[-0.18681414]
1145,1145,[732.06191007],[-0.14265351],[23296.84219403],[1.66517761],[-1.86802382],[-0.18680238]
1146,1146,[725.52246502],[-0.14448569],[23192.76482977],[1.66225066],[-1.86790565],[-0.18679056]
1147,1147,[719.00766869],[-0.14634474],[23088.301569],[1.65929023],[-1.86778688],[-0.18677869]
1148,1148,[712.51779725],[-0.14823099],[22983.45376932],[1.65629601],[-1.86766755],[-0.18676675]
1149,1149,[706.0531279],[-0.15014479],[22878.22290262],[1.65326769],[-1.86754767],[-0.18675477]
1150,1150,[699.61393874],[-0.15208648],[22772.61055794],[1.65020498],[-1.86742727],[-0.18674273]
1151,1151,[693.20050874],[-0.1540564],[22666.61844439],[1.64710756],[-1.86730637],[-0.18673064]
1152,1152,[686.81311768],[-0.15605487],[22560.2483941],[1.64397514],[-1.86718502],[-0.1867185]
1153,1153,[680.45204602],[-0.15808223],[22453.50236519],[1.64080742],[-1.86706322],[-0.18670632]
1154,1154,[674.11757491],[-0.16013883],[22346.38244469],[1.63760411],[-1.86694102],[-0.1866941]
1155,1155,[667.80998605],[-0.16222498],[22238.89085155],[1.63436493],[-1.86681844],[-0.18668184]
1156,1156,[661.52956164],[-0.16434103],[22131.02993963],[1.63108957],[-1.86669552],[-0.18666955]
1157,1157,[655.27658427],[-0.16648728],[22022.8022007],[1.62777776],[-1.86657228],[-0.18665723]
1158,1158,[649.05133689],[-0.16866408],[21914.21026737],[1.62442922],[-1.86644875],[-0.18664488]
1159,1159,[642.85410266],[-0.17087173],[21805.25691615],[1.62104368],[-1.86632497],[-0.1866325]
1160,1160,[636.6851649],[-0.17311056],[21695.94507038],[1.61762086],[-1.86620097],[-0.1866201]
1161,1161,[630.54480698],[-0.17538087],[21586.27780323],[1.61416049],[-1.86607679],[-0.18660768]
1162,1162,[624.43331224],[-0.17768297],[21476.25834061],[1.61066233],[-1.86595245],[-0.18659525]
1163,1163,[618.35096387],[-0.18001716],[21365.89006412],[1.60712611],[-1.865828],[-0.1865828]
1164,1164,[612.29804482],[-0.18238374],[21255.17651395],[1.60355159],[-1.86570346],[-0.18657035]
1165,1165,[606.2748377],[-0.18478299],[21144.12139173],[1.59993852],[-1.86557888],[-0.18655789]
1166,1166,[600.28162467],[-0.18721519],[21032.72856336],[1.59628666],[-1.86545429],[-0.18654543]
1167,1167,[594.31868733],[-0.18968063],[20921.0020618],[1.5925958],[-1.86532972],[-0.18653297]
1168,1168,[588.3863066],[-0.19217956],[20808.94608979],[1.5888657],[-1.86520522],[-0.18652052]
1169,1169,[582.48476261],[-0.19471224],[20696.56502253],[1.58509616],[-1.86508081],[-0.18650808]
1170,1170,[576.61433461],[-0.19727893],[20583.86341029],[1.58128697],[-1.86495654],[-0.18649565]
1171,1171,[570.7753008],[-0.19987986],[20470.84598091],[1.57743793],[-1.86483245],[-0.18648324]
1172,1172,[564.96793824],[-0.20251525],[20357.5176423],[1.57354886],[-1.86470856],[-0.18647086]
1173,1173,[559.19252272],[-0.20518534],[20243.88348482],[1.56961958],[-1.86458493],[-0.18645849]
1174,1174,[553.44932863],[-0.20789032],[20129.94878348],[1.56564991],[-1.86446158],[-0.18644616]
1175,1175,[547.73862883],[-0.21063038],[20015.7190002],[1.55964773],[-1.86405433],[-0.18640543]
1176,1176,[542.08022996],[-0.21344923],[19901.19978583],[1.55165646],[-1.86337489],[-0.18633749]
1177,1177,[536.49342228],[-0.21638959],[19786.36978848],[1.5454504],[-1.86296991],[-0.18629699]
1178,1178,[530.96038821],[-0.21940987],[19671.18206409],[1.54025687],[-1.86272331],[-0.18627233]
1179,1179,[525.47096323],[-0.22248585],[19555.61658387],[1.5356197],[-1.8625662],[-0.18625662]
1180,1180,[520.01949987],[-0.22560371],[19439.66885324],[1.5312709],[-1.86245804],[-0.1862458]
1181,1181,[514.6030032],[-0.22875583],[19323.34318554],[1.52705469],[-1.86237527],[-0.18623753]
1182,1182,[509.22001876],[-0.23193818],[19206.64875014],[1.52288195],[-1.86230449],[-0.18623045]
1183,1183,[503.86997161],[-0.23514884],[19089.59727839],[1.51870284],[-1.86223825],[-0.18622382]
1184,1184,[498.55277709],[-0.23838706],[18972.20175568],[1.51449036],[-1.86217256],[-0.18621726]
1185,1185,[493.26861433],[-0.24165271],[18854.4756945],[1.5102306],[-1.86210543],[-0.18621054]
1186,1186,[488.01779657],[-0.24494601],[18736.43274547],[1.50591701],[-1.86203598],[-0.1862036]
1187,1187,[482.80069823],[-0.24826732],[18618.08650153],[1.50154706],[-1.86196393],[-0.18619639]
1188,1188,[477.617715],[-0.25161702],[18499.45041024],[1.49712038],[-1.86188931],[-0.18618893]
1189,1189,[472.46924259],[-0.2549955],[18380.53774495],[1.49263767],[-1.8618123],[-0.18618123]
1190,1190,[467.35566613],[-0.25840311],[18261.36160653],[1.48810015],[-1.86173316],[-0.18617332]
1191,1191,[462.27735522],[-0.26184014],[18141.93494004],[1.48350922],[-1.86165218],[-0.18616522]
1192,1192,[457.23466203],[-0.26530685],[18022.27055776],[1.47886633],[-1.86156961],[-0.18615696]
1193,1193,[452.22792106],[-0.2688034],[17902.38116384],[1.4741729],[-1.86148572],[-0.18614857]
1194,1194,[447.25744957],[-0.27232992],[17782.27937843],[1.46943025],[-1.86140075],[-0.18614008]
1195,1195,[442.32354833],[-0.27588648],[17661.97776013],[1.46463967],[-1.86131491],[-0.18613149]
1196,1196,[437.42650254],[-0.27947308],[17541.48882622],[1.45980233],[-1.86122841],[-0.18612284]
1197,1197,[432.56658268],[-0.28308968],[17420.82507072],[1.45491936],[-1.86114141],[-0.18611414]
1198,1198,[427.74404528],[-0.28673619],[17299.99898013],[1.44999182],[-1.86105409],[-0.18610541]
1199,1199,[422.95913371],[-0.29041246],[17179.02304721],[1.44502071],[-1.86096658],[-0.18609666]
1200,1200,[418.21207877],[-0.29411829],[17057.9097826],[1.440007],[-1.86087902],[-0.1860879]
1201,1201,[413.50309928],[-0.29785344],[16936.67172482],[1.43495161],[-1.86079151],[-0.18607915]
1202,1202,[408.83240263],[-0.30161763],[16815.32144842],[1.42985545],[-1.86070418],[-0.18607042]
1203,1203,[404.20018513],[-0.3054105],[16693.87157072],[1.42471938],[-1.8606171],[-0.18606171]
1204,1204,[399.60663245],[-0.30923169],[16572.334757],[1.41954427],[-1.86053036],[-0.18605304]
1205,1205,[395.05191993],[-0.31308078],[16450.72372442],[1.41433096],[-1.86044403],[-0.1860444]
1206,1206,[390.53621289],[-0.31695729],[16329.0512447],[1.4090803],[-1.86035818],[-0.18603582]
1207,1207,[386.05966684],[-0.32086071],[16207.33014564],[1.40379312],[-1.86027285],[-0.18602729]
1208,1208,[381.62242771],[-0.32479051],[16085.57331158],[1.39847025],[-1.8601881],[-0.18601881]
1209,1209,[377.22463203],[-0.32874608],[15963.79368283],[1.39311255],[-1.86010395],[-0.1860104]
1210,1210,[372.86640711],[-0.3327268],[15842.00425425],[1.38772085],[-1.86002046],[-0.18600205]
1211,1211,[368.54787112],[-0.33673201],[15720.21807286],[1.38229602],[-1.85993763],[-0.18599376]
1212,1212,[364.26913326],[-0.34076099],[15598.4482347],[1.37683894],[-1.85985549],[-0.18598555]
1213,1213,[360.03029381],[-0.344813],[15476.70788091],[1.37135048],[-1.85977406],[-0.18597741]
1214,1214,[355.83144425],[-0.34888726],[15355.0101931],[1.36583155],[-1.85969334],[-0.18596933]
1215,1215,[351.67266728],[-0.35298297],[15233.36838804],[1.36028307],[-1.85961333],[-0.18596133]
1216,1216,[347.55403693],[-0.35709925],[15111.79571175],[1.35470598],[-1.85953404],[-0.1859534]
1217,1217,[343.47561856],[-0.36123524],[14990.30543298],[1.34910125],[-1.85945546],[-0.18594555]
1218,1218,[339.43746892],[-0.36539002],[14868.91083618],[1.34346985],[-1.85937757],[-0.18593776]
1219,1219,[335.43963618],[-0.36956263],[14747.62521395],[1.3378128],[-1.85930038],[-0.18593004]
1220,1220,[331.48215995],[-0.3737521],[14626.46185904],[1.33213112],[-1.85922385],[-0.18592239]
1221,1221,[327.56507133],[-0.37795741],[14505.43405588],[1.32642588],[-1.85914798],[-0.1859148]
1222,1222,[323.68839286],[-0.38217752],[14384.55507183],[1.32069814],[-1.85907273],[-0.18590727]
1223,1223,[319.85213864],[-0.38641137],[14263.83814791],[1.31494902],[-1.85899808],[-0.18589981]
1224,1224,[316.05631423],[-0.39065787],[14143.29648939],[1.30917966],[-1.85892401],[-0.1858924]
1225,1225,[312.30091674],[-0.39491589],[14022.94325596],[1.3033912],[-1.85885047],[-0.18588505]
1226,1226,[308.58593484],[-0.39918429],[13902.79155171],[1.29758483],[-1.85877744],[-0.18587774]
1227,1227,[304.91134872],[-0.40346191],[13782.85441493],[1.29176177],[-1.85870489],[-0.18587049]
1228,1228,[301.27713017],[-0.40774755],[13663.14480765],[1.28592325],[-1.85863277],[-0.18586328]
1229,1229,[297.68324253],[-0.41204002],[13543.67560511],[1.28007052],[-1.85856104],[-0.1858561]
1230,1230,[294.12964078],[-0.41633809],[13424.45958507],[1.27420489],[-1.85848968],[-0.18584897]
1231,1231,[290.61627148],[-0.42064052],[13305.50941712],[1.26832766],[-1.85841863],[-0.18584186]
1232,1232,[287.14307285],[-0.42494605],[13186.83765182],[1.26244015],[-1.85834786],[-0.18583479]
1233,1233,[283.70997477],[-0.42925341],[13068.45670998],[1.25654374],[-1.85827731],[-0.18582773]
1234,1234,[280.3168988],[-0.43356132],[12950.37887189],[1.25063981],[-1.85820696],[-0.1858207]
1235,1235,[276.96375824],[-0.43786849],[12832.61626656],[1.24472974],[-1.85813675],[-0.18581368]
1236,1236,[273.65045812],[-0.44217362],[12715.18086121],[1.23881497],[-1.85806665],[-0.18580666]
1237,1237,[270.37689527],[-0.4464754],[12598.08445069],[1.23289694],[-1.8579966],[-0.18579966]
1238,1238,[267.14295836],[-0.45077254],[12481.33864724],[1.2269771],[-1.85792658],[-0.18579266]
1239,1239,[263.94852791],[-0.4550637],[12364.9548703],[1.22105694],[-1.85785653],[-0.18578565]
1240,1240,[260.7934764],[-0.45934758],[12248.94433661],[1.21513793],[-1.85778641],[-0.18577864]
1241,1241,[257.67766825],[-0.46362287],[12133.31805052],[1.20922159],[-1.85771618],[-0.18577162]
1242,1242,[254.60095996],[-0.46788826],[12018.08679465],[1.20330944],[-1.8576458],[-0.18576458]
1243,1243,[251.56320009],[-0.47214244],[11903.26112071],[1.197403],[-1.85757524],[-0.18575752]
1244,1244,[248.5642294],[-0.47638411],[11788.85134082],[1.1915038],[-1.85750446],[-0.18575045]
1245,1245,[245.60388087],[-0.48061198],[11674.86751904],[1.1856134],[-1.85743341],[-0.18574334]
1246,1246,[242.6819798],[-0.48482477],[11561.31946337],[1.17973334],[-1.85736208],[-0.18573621]
1247,1247,[239.79834391],[-0.48902122],[11448.21671809],[1.17386517],[-1.85729041],[-0.18572904]
1248,1248,[236.95278338],[-0.49320006],[11335.56855656],[1.16801045],[-1.85721839],[-0.18572184]
1249,1249,[234.14510101],[-0.49736006],[11223.38397443],[1.16217074],[-1.85714599],[-0.1857146]
1250,1250,[231.37509224],[-0.50149999],[11111.67168331],[1.15634758],[-1.85707317],[-0.18570732]
1251,1251,[228.64254532],[-0.50561866],[11000.44010494],[1.14538375],[-1.85625622],[-0.18562562]
1252,1252,[225.99783361],[-0.50998631],[10889.69736578],[1.1165297],[-1.85287435],[-0.18528744]
1253,1253,[223.61507771],[-0.51553711],[10779.3730648],[1.12176736],[-1.85468552],[-0.18546855]
1254,1254,[221.15408298],[-0.52034147],[10669.130335],[1.10925875],[-1.85376713],[-0.18537671]
1255,1255,[218.79226251],[-0.5254215],[10559.17773465],[1.10661146],[-1.85433888],[-0.18543389]
1256,1256,[216.4313628],[-0.53020973],[10449.43641697],[1.09829082],[-1.85403018],[-0.18540302]
1257,1257,[214.12825288],[-0.53504285],[10339.9839851],[1.09353834],[-1.85425051],[-0.18542505]
1258,1258,[211.84752685],[-0.53971391],[10230.80472021],[1.08656876],[-1.85411867],[-0.18541187]
1259,1259,[209.61155088],[-0.54436],[10121.93827048],[1.08119535],[-1.85421527],[-0.18542153]
1260,1260,[207.4046191],[-0.54888909],[10013.3865898],[1.07478559],[-1.85414004],[-0.185414]
1261,1261,[205.23731602],[-0.55336911],[9905.17533956],[1.06924811],[-1.8541832],[-0.18541832]
1262,1262,[203.10117255],[-0.55775087],[9797.31153281],[1.06314018],[-1.85412576],[-0.18541258]
1263,1263,[201.00212918],[-0.56207471],[9689.81429343],[1.05760505],[-1.85414135],[-0.18541414]
1264,1264,[198.93471512],[-0.56630938],[9582.69164329],[1.05170207],[-1.85408743],[-0.18540874]
1265,1265,[196.90285532],[-0.57048323],[9475.95894256],[1.04624126],[-1.85408689],[-0.18540869]
1266,1266,[194.90239072],[-0.57457283],[9369.62375718],[1.04050072],[-1.85403048],[-0.18540305]
1267,1267,[192.93637308],[-0.57860146],[9263.69893407],[1.03515243],[-1.85402006],[-0.18540201]
1268,1268,[191.00114826],[-0.58254853],[9158.19098932],[1.0295504],[-1.85395799],[-0.1853958]
1269,1269,[189.09951445],[-0.58643615],[9053.11096112],[1.0243416],[-1.85394223],[-0.18539422]
1270,1270,[187.22781357],[-0.5902433],[8948.46401847],[1.01885763],[-1.85387185],[-0.18538719]
1271,1271,[185.38906279],[-0.59399401],[8844.2599124],[1.01381575],[-1.85385535],[-0.18538554]
1272,1272,[183.57912126],[-0.59766357],[8740.5022217],[1.0084224],[-1.85377297],[-0.1853773]
1273,1273,[181.80177213],[-0.60128177],[8637.19993826],[1.00358683],[-1.85376212],[-0.18537621]
1274,1274,[180.0517239],[-0.6048154],[8534.35469356],[0.99823532],[-1.85366084],[-0.18536608]
1275,1275,[178.33440468],[-0.60830643],[8431.97544026],[0.99367748],[-1.85366686],[-0.18536669]
1276,1276,[176.6421717],[-0.61170426],[8330.06116102],[0.98826797],[-1.85353212],[-0.18535321]
1277,1277,[174.98380649],[-0.61507574],[8228.62200571],[0.98413738],[-1.85357801],[-0.1853578]
1278,1278,[173.34682582],[-0.61833422],[8127.65278329],[0.97844617],[-1.85337658],[-0.18533766]
1279,1279,[171.74708798],[-0.62159957],[8027.16733552],[0.97508838],[-1.85351485],[-0.18535149]
1280,1280,[170.16158799],[-0.62470583],[7927.1527764],[0.96857356],[-1.85316563],[-0.18531656]
1281,1281,[168.62211602],[-0.62789376],[7827.63229405],[0.96685689],[-1.85352742],[-0.18535274]
1282,1282,[167.08107256],[-0.6308094],[7728.57665691],[0.95810092],[-1.85281739],[-0.18528174]
1283,1283,[165.60898732],[-0.63399183],[7630.03247785],[0.9603872],[-1.85375824],[-0.18537582]
1284,1284,[164.09595627],[-0.63660369],[7531.93141679],[0.94538569],[-1.85208421],[-0.18520842]
1285,1285,[162.71476701],[-0.63998366],[7434.38164889],[0.95862595],[-1.85464715],[-0.18546472]
1286,1286,[161.18390997],[-0.64194246],[7337.2112643],[0.92517074],[-1.85016278],[-0.18501628]
1287,1287,[159.96958378],[-0.64614972],[7240.70201961],[0.97153273],[-1.85765181],[-0.18576518]
1288,1288,[158.27575031],[-0.64630064],[7144.38164802],[0.87963934],[-1.84423648],[-0.18442365]
1289,1289,[157.48213983],[-0.65344423],[7049.06209155],[1.03607071],[-1.86788902],[-0.1867889]
1290,1290,[155.1119774],[-0.64764046],[6953.3248085],[0.74819346],[-1.82350995],[-0.182351]
1291,1291,[155.59938166],[-0.66509534],[6859.74477099],[1.30550815],[-1.90324481],[-0.19032448]
1292,1292,[150.51676428],[-0.6370748],[6763.71907766],[0.3926317],[-1.74328685],[-0.17432868]
1293,1293,[154.55301857],[-0.68696742],[6674.18469289],[2.23428076],[-1.99547473],[-0.19954747]
1294,1294,[140.22766739],[-0.58685714],[6576.16788012],[0.39888171],[-1.49611121],[-0.14961112]
1295,1295,[144.48505189],[-0.66114595],[6498.51726477],[0.37546213],[-1.74796101],[-0.1747961]
1296,1296,[148.54671696],[-0.71062435],[6409.80030199],[2.52021355],[-2.02052267],[-0.20205227]
1297,1297,[131.26769494],[-0.58143461],[6312.90221945],[0.70318925],[-1.39104353],[-0.13910435]
1298,1298,[132.56968256],[-0.64002921],[6240.80693338],[0.25964126],[-1.52974711],[-0.15297471]
1299,1299,[137.89211062],[-0.72031261],[6161.63381753],[1.0860516],[-1.88565871],[-0.18856587]
1300,1300,[134.61511245],[-0.69832336],[6070.67747056],[0.33409127],[-1.75079599],[-0.1750796]
1301,1301,[138.85290226],[-0.74870251],[5984.12878171],[3.20255597],[-2.072393],[-0.2072393]
1302,1302,[114.6327907],[-0.55022768],[5889.61316215],[1.49462952],[-1.17798201],[-0.1177982]
1303,1303,[108.33655442],[-0.54851537],[5829.67381778],[1.70007703],[-1.10933484],[-0.11093348]
1304,1304,[100.03404318],[-0.52463748],[5773.18486663],[1.92852163],[-1.0070764],[-0.10070764]
1305,1305,[89.61060948],[-0.47406157],[5723.07788656],[2.00480762],[-0.88862077],[-0.08886208]
1306,1306,[78.67621562],[-0.41105904],[5682.17031085],[1.87623061],[-0.79081683],[-0.07908168]
1307,1307,[69.26704881],[-0.3627567],[5650.73283913],[1.6898757],[-0.72792513],[-0.07279251]
1308,1308,[61.86396961],[-0.34228524],[5626.15322766],[1.5273182],[-0.68910393],[-0.06891039]
1309,1309,[56.12425541],[-0.34861969],[5605.38916518],[1.3930023],[-0.66331493],[-0.06633149]
1310,1310,[51.68063553],[-0.376276],[5586.21707161],[1.27881516],[-0.64478314],[-0.06447831]
1311,1311,[48.26061026],[-0.41874638],[5567.22652824],[1.18028],[-0.63086846],[-0.06308685]
1312,1312,[45.64563784],[-0.46923638],[5547.60301767],[1.09679766],[-0.62041744],[-0.06204174]
1313,1313,[43.63666821],[-0.52121271],[5526.96181694],[1.02922712],[-0.61285416],[-0.06128542]
1314,1314,[42.04812257],[-0.56925974],[5505.23371534],[0.97727419],[-0.60763482],[-0.06076348]
1315,1315,[40.72470926],[-0.60997103],[5482.5694124],[0.93819125],[-0.60402916],[-0.06040292]
1316,1316,[39.56257783],[-0.64233577],[5459.24051861],[0.90775118],[-0.60126556],[-0.06012656]
1317,1317,[38.51295854],[-0.66727008],[5435.53987123],[0.88238161],[-0.59882327],[-0.05988233]
1318,1318,[37.56320968],[-0.6865448],[5411.70636161],[0.86023698],[-0.59652412],[-0.05965241]
1319,1319,[36.71221984],[-0.70182331],[5387.89622323],[0.84071039],[-0.59438367],[-0.05943837]
1320,1320,[35.95685934],[-0.71427112],[5364.19440441],[0.82359395],[-0.59244698],[-0.0592447]
1321,1321,[35.2899595],[-0.72461237],[5340.64025712],[0.80868331],[-0.59072899],[-0.0590729]
1322,1322,[34.70245118],[-0.73330489],[5317.24847508],[0.79573227],[-0.58921974],[-0.05892197]
1323,1323,[34.1851646],[-0.74066465],[5294.02112816],[0.78449312],[-0.5878996],[-0.05878996]
1324,1324,[33.72958773],[-0.7469272],[5270.95371121],[0.77474054],[-0.5867473],[-0.05867473]
1325,1325,[33.32806512],[-0.75227622],[5248.03826054],[0.76627675],[-0.58574274],[-0.05857427]
1326,1326,[32.97380078],[-0.75685849],[5225.26511103],[0.7589299],[-0.5848676],[-0.05848676]
1327,1327,[32.66080172],[-0.76079327],[5202.62394849],[0.75255119],[-0.58410559],[-0.05841056]
1328,1328,[32.38380405],[-0.76417863],[5180.10444923],[0.74701182],[-0.58344229],[-0.05834423]
1329,1329,[32.13819601],[-0.76709596],[5157.69666256],[0.7422004],[-0.58286504],[-0.0582865]
1330,1330,[31.91994425],[-0.76961335],[5135.39122904],[0.7380205],[-0.58236274],[-0.05823627]
