Time (s),Velocity (m/s),Gamma (rad),Altitude (m),G-force,Angle of Attack (rad),AoA Adjustment (rad)
191,191,[6275.20300883],[0.04184382],[105168.12735355],[1.66158708],[-0.64698047],[-0.06469805]
192,192,[6274.76935358],[0.04125141],[105430.62921592],[1.66080369],[-0.6468967],[-0.06468967]
193,193,[6274.3425393],[0.0406586],[105689.39887193],[1.66002749],[-0.64681397],[-0.0646814]
194,194,[6273.92250915],[0.04006542],[105944.43457218],[1.65925804],[-0.64673222],[-0.06467322]
195,195,[6273.50921034],[0.03947186],[106195.7346361],[1.65849495],[-0.64665138],[-0.06466514]
196,196,[6273.10259383],[0.03887796],[106443.29744795],[1.65773785],[-0.64657139],[-0.06465714]
197,197,[6272.70261403],[0.03828371],[106687.12145319],[1.65698641],[-0.64649222],[-0.06464922]
198,198,[6272.30922857],[0.03768914],[106927.20515505],[1.65624031],[-0.6464138],[-0.06464138]
199,199,[6271.92239803],[0.03709424],[107163.5471114],[1.65549927],[-0.6463361],[-0.06463361]
200,200,[6271.54208571],[0.03649902],[107396.14593183],[1.65476303],[-0.64625907],[-0.06462591]
201,201,[6271.16825746],[0.03590351],[107625.00027495],[1.65403133],[-0.64618268],[-0.06461827]
202,202,[6270.80088143],[0.0353077],[107850.10884591],[1.65330395],[-0.6461069],[-0.06461069]
203,203,[6270.43992796],[0.0347116],[108071.47039409],[1.65258068],[-0.64603169],[-0.06460317]
204,204,[6270.08536935],[0.03411523],[108289.08371094],[1.65186133],[-0.64595701],[-0.0645957]
205,205,[6269.73717973],[0.03351859],[108502.94762803],[1.65114571],[-0.64588286],[-0.06458829]
206,206,[6269.39533497],[0.03292168],[108713.06101522],[1.65043366],[-0.64580919],[-0.06458092]
207,207,[6269.05981245],[0.03232452],[108919.42277892],[1.64972503],[-0.64573599],[-0.0645736]
208,208,[6268.73059106],[0.03172712],[109122.03186058],[1.64901967],[-0.64566324],[-0.06456632]
209,209,[6268.40765098],[0.03112947],[109320.88723517],[1.64831746],[-0.6455909],[-0.06455909]
210,210,[6268.09097366],[0.03053158],[109515.98790989],[1.64761827],[-0.64551898],[-0.0645519]
211,211,[6267.78054169],[0.02993347],[109707.33292287],[1.64692199],[-0.64544744],[-0.06454474]
212,212,[6267.47633871],[0.02933514],[109894.92134202],[1.64622851],[-0.64537628],[-0.06453763]
213,213,[6267.17834934],[0.02873659],[110078.75226395],[1.64553716],[-0.64530539],[-0.06453054]
214,214,[6266.88656487],[0.02813783],[110258.82481299],[1.64484868],[-0.64523488],[-0.06452349]
